rank,id,title,score,workType,subjectType,templateId,templateName,compositionPatterns,styleKeywords,lightingCamera,containsText,textRequirement,failureRisks,detailUrl,whySelected
"11","14598","《Dark Space Emperor》电影海报","93","海报/封面","产品","T05","电影/专辑封面","centered; symmetrical; layered; vertical","realistic; photorealistic; cinematic; sci-fi; premium","rim light; high contrast","true","文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14598","得分 93；构图: centered, symmetrical, layered, vertical；风格: realistic, photorealistic, cinematic, sci-fi, premium；文字是主视觉"
"12","15639","极简主义精华液产品拼图","93","产品/电商","产品","T06","产品英雄图","centered; close-up; top-down; grid; front-facing","realistic; editorial; minimalist; premium; studio","","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15639","得分 93；构图: centered, close-up, top-down, grid, front-facing；风格: realistic, editorial, minimalist, premium, studio；包含标注/说明；文字是主视觉"
"13","15014","极简主义 9 宫格时尚拼贴","92","人物/角色","服饰","T02","全身角色设定","centered; full-body; grid; layered; vertical","realistic; photorealistic; editorial; minimalist; studio","studio lighting; camera","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 手部/比例/面部一致性; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15014","得分 92；构图: centered, full-body, grid, layered, vertical；风格: realistic, photorealistic, editorial, minimalist, studio；要求精确文字；包含标注/说明"
"14","15467","日式视频制作海报","92","海报/封面","界面","T04","编辑感海报主视觉","close-up; grid; 2x2; vertical; horizontal","realistic; cinematic; editorial; minimalist; premium; studio","overcast; shallow depth; depth of field; camera","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15467","得分 92；构图: close-up, grid, 2x2, vertical, horizontal；风格: realistic, cinematic, editorial, minimalist, premium, studio；要求精确文字；包含标注/说明；文字是主视觉"
"15","15797","情感动漫电影横幅","91","人物/角色","人物","T01","电影感人物肖像","close-up; poster layout; layered; vertical","cinematic; anime; sci-fi","rim light; lens","true","要求精确文字；文字是主视觉","文字可读性/准确拼写; 手部/比例/面部一致性","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15797","得分 91；构图: close-up, poster layout, layered, vertical；风格: cinematic, anime, sci-fi；要求精确文字；文字是主视觉"
"16","15386","动漫风航空学生优惠海报","91","海报/封面","文字符号","T04","编辑感海报主视觉","centered; symmetrical; callout; layered; vertical","anime; premium","","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15386","得分 91；构图: centered, symmetrical, callout, layered, vertical；风格: anime, premium；要求精确文字；包含标注/说明；文字是主视觉"
"17","15772","动漫春季旅行电影海报","91","海报/封面","文字符号","T05","电影/专辑封面","centered","realistic; cinematic; anime; premium; studio","natural light","true","要求精确文字；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15772","得分 91；构图: centered；风格: realistic, cinematic, anime, premium, studio；要求精确文字；文字是主视觉"
"18","15096","温馨企鹅奇幻电影海报","91","海报/封面","人物","T05","电影/专辑封面","centered; poster layout; vertical","realistic; cinematic; anime; fantasy; premium; studio","backlight; neon; golden hour; shallow depth; depth of field; lens","true","要求精确文字；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15096","得分 91；构图: centered, poster layout, vertical；风格: realistic, cinematic, anime, fantasy, premium, studio；要求精确文字；文字是主视觉"
"19","15731","优雅都市时尚杂志封面","90","海报/封面","人物","T05","电影/专辑封面","centered; full-body; vertical","realistic; cinematic; editorial; premium","depth of field; camera","true","要求精确文字；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15731","得分 90；构图: centered, full-body, vertical；风格: realistic, cinematic, editorial, premium；要求精确文字；文字是主视觉"
"20","14521","优雅芭蕾舞学校宣传网格图","90","综合视觉","文字符号","T17","2x2 对比/系列图","close-up; full-body; grid; 2x2; vertical","cinematic; editorial; luxury; premium; studio","","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14521","得分 90；构图: close-up, full-body, grid, 2x2, vertical；风格: cinematic, editorial, luxury, premium, studio；要求精确文字；包含标注/说明；文字是主视觉"
"21","15536","商业产品信息图","88","产品/电商","产品","T06","产品英雄图","annotations; callout","realistic; photorealistic; editorial; premium; studio","studio lighting; depth of field; lens","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15536","得分 88；构图: annotations, callout；风格: realistic, photorealistic, editorial, premium, studio；包含标注/说明；文字是主视觉"
"22","15448","尤文图斯 Yamal 转会海报","88","海报/封面","文字符号","T14","杂志编辑版式","full-body; layered; vertical","cinematic; editorial; premium","rim light","true","文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15448","得分 88；构图: full-body, layered, vertical；风格: cinematic, editorial, premium；文字是主视觉"
"23","14177","Pet Brand Identity System Board","87","产品/电商","界面","T06","产品英雄图","centered; close-up; grid; front-facing; vertical; horizontal","realistic; editorial; 3d; minimalist; premium","","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14177","得分 87；构图: centered, close-up, grid, front-facing, vertical, horizontal；风格: realistic, editorial, 3d, minimalist, premium；包含标注/说明；文字是主视觉"
"24","14576","Audi S4 宣传海报","87","产品/电商","文字符号","T06","产品英雄图","centered; close-up; hero shot; front-facing; vertical","realistic; photorealistic; luxury; premium; studio","","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14576","得分 87；构图: centered, close-up, hero shot, front-facing, vertical；风格: realistic, photorealistic, luxury, premium, studio；包含标注/说明；文字是主视觉"
"25","15517","工业设计展示页","87","产品/电商","产品","T06","产品英雄图","close-up; top-down; grid; hero shot","realistic; minimalist; studio","","true","文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15517","得分 87；构图: close-up, top-down, grid, hero shot；风格: realistic, minimalist, studio；文字是主视觉"
"26","15026","奢华出版与品牌推广编辑排版","86","海报/封面","人物","T14","杂志编辑版式","centered; close-up; vertical; horizontal","realistic; photorealistic; cinematic; editorial; minimalist; luxury; premium","","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15026","得分 86；构图: centered, close-up, vertical, horizontal；风格: realistic, photorealistic, cinematic, editorial, minimalist, luxury, premium；要求精确文字；包含标注/说明；文字是主视觉"
"27","15743","粉色动漫 Natsuki 横幅","85","人物/角色","人物","T01","电影感人物肖像","grid; layered","cinematic; anime; 3d","","true","要求精确文字","文字可读性/准确拼写; 手部/比例/面部一致性; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15743","得分 85；构图: grid, layered；风格: cinematic, anime, 3d；要求精确文字"
"28","14891","中文直播宿舍自拍 UI","85","UI/界面","界面","T08","电商直播/UI 样机","centered; close-up; front-facing; layered; vertical","realistic; photorealistic","camera","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14891","得分 85；构图: centered, close-up, front-facing, layered, vertical；风格: realistic, photorealistic；要求精确文字；包含标注/说明"
"29","14888","GPT IMAGE 2 中文提示词文档","85","海报/封面","界面","T14","杂志编辑版式","","realistic; editorial; premium","natural light; high contrast","true","要求精确文字；要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14888","得分 85；风格: realistic, editorial, premium；要求精确文字；要求可读；包含标注/说明；文字是主视觉"
"30","15254","奢华双语品鉴菜单摄影","85","摄影/真实场景","人物","T19","复古真实摄影","centered; top-down; grid; vertical; horizontal","realistic; photorealistic; editorial; luxury; hand-drawn","","true","要求精确文字；要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15254","得分 85；构图: centered, top-down, grid, vertical, horizontal；风格: realistic, photorealistic, editorial, luxury, hand-drawn；要求精确文字；要求可读；包含标注/说明；文字是主视觉"
"31","15435","银行内电影质感的红色劫匪团队","84","人物/角色","人物","T01","电影感人物肖像","centered; symmetrical; full-body","realistic; cinematic","rim light; backlight; camera","true","要求精确文字；文字是主视觉","文字可读性/准确拼写; 手部/比例/面部一致性; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15435","得分 84；构图: centered, symmetrical, full-body；风格: realistic, cinematic；要求精确文字；文字是主视觉"
"32","15391","未来感 AI 体育海报","84","UI/界面","界面","T09","SaaS 仪表盘","centered; vertical; horizontal","realistic; photorealistic; cinematic; sci-fi; premium","lens; camera","true","包含文字或排版元素","文字可读性/准确拼写; 结构化布局精度; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15391","得分 84；构图: centered, vertical, horizontal；风格: realistic, photorealistic, cinematic, sci-fi, premium；包含文字或排版元素"
"33","15762","维多利亚风格动物象棋对弈","83","人物/角色","人物","T01","电影感人物肖像","centered; symmetrical","realistic; photorealistic; cinematic","shallow depth; depth of field; camera","true","要求精确文字","文字可读性/准确拼写; 手部/比例/面部一致性; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15762","得分 83；构图: centered, symmetrical；风格: realistic, photorealistic, cinematic；要求精确文字"
"34","15397","摩洛哥餐厅品牌项目","83","UI/界面","文字符号","T08","电商直播/UI 样机","centered; grid","realistic; editorial; minimalist; luxury; premium","","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15397","得分 83；构图: centered, grid；风格: realistic, editorial, minimalist, luxury, premium；要求精确文字；包含标注/说明；文字是主视觉"
"35","14866","McLaren GT3X 技术蓝图海报","83","信息图/图解","信息结构","T11","百科信息图卡","symmetrical; grid; hero shot; annotations; callout; vertical; horizontal","realistic; premium; hand-drawn","","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14866","得分 83；构图: symmetrical, grid, hero shot, annotations, callout, vertical, horizontal；风格: realistic, premium, hand-drawn；包含标注/说明；文字是主视觉"
"36","15684","日式时尚杂志封面：鲤鱼旗主题礼服","83","海报/封面","人物","T14","杂志编辑版式","callout; layered; vertical","editorial; premium","camera","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15684","得分 83；构图: callout, layered, vertical；风格: editorial, premium；要求精确文字；包含标注/说明"
"37","15034","动漫角色蓝图设计稿","82","人物/角色","人物","T01","电影感人物肖像","close-up; grid; layered; vertical","anime; minimalist","","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 手部/比例/面部一致性; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15034","得分 82；构图: close-up, grid, layered, vertical；风格: anime, minimalist；包含标注/说明；文字是主视觉"
"38","15374","动漫 RPG 剑术攻击项目","82","插画/漫画","人物","T03","动作漫画/动漫场景","centered; close-up; full-body; top-down; grid; layered; horizontal","cinematic; anime; 3d; fantasy","camera","true","包含文字或排版元素","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15374","得分 82；构图: centered, close-up, full-body, top-down, grid, layered, horizontal；风格: cinematic, anime, 3d, fantasy；包含文字或排版元素"
"39","15683","科幻灯塔结构解析图","82","信息图/图解","信息结构","T11","百科信息图卡","centered; symmetrical; full-body; cutaway; front-facing; annotations; callout","cinematic; sci-fi","overcast; volumetric; camera","true","包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15683","得分 82；构图: centered, symmetrical, full-body, cutaway, front-facing, annotations, callout；风格: cinematic, sci-fi；包含标注/说明"
"40","14870","Thoughtful Systems 演示封面","82","信息图/图解","界面","T12","流程图/步骤图","layered; vertical; horizontal","editorial; luxury; hand-drawn","natural light","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 结构化布局精度","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14870","得分 82；构图: layered, vertical, horizontal；风格: editorial, luxury, hand-drawn；要求精确文字；包含标注/说明"
"41","15339","动漫时尚杂志封面","82","海报/封面","服饰","T14","杂志编辑版式","layered; vertical","editorial; anime; premium","","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15339","得分 82；构图: layered, vertical；风格: editorial, anime, premium；要求精确文字；包含标注/说明；文字是主视觉"
"42","14539","日式居酒屋 Highball 海报","82","字体/Logo","文字符号","T15","Logo/字体实验","layered; vertical","realistic; photorealistic; cinematic","shallow depth; depth of field; camera","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14539","得分 82；构图: layered, vertical；风格: realistic, photorealistic, cinematic；要求精确文字；包含标注/说明；文字是主视觉"
"43","14639","8 格 GPT-Image-2 漫画宣传页","82","综合视觉","人物","T17","2x2 对比/系列图","close-up; grid; 2x2; hero shot","editorial; anime; manga","camera","true","要求精确文字；要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14639","得分 82；构图: close-up, grid, 2x2, hero shot；风格: editorial, anime, manga；要求精确文字；要求可读；包含标注/说明；文字是主视觉"
"44","15608","电影时代排版网格","82","综合视觉","产品","T17","2x2 对比/系列图","grid; 2x2; front-facing","realistic; cinematic; 3d; vintage; studio","studio lighting; lens; camera","true","要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15608","得分 82；构图: grid, 2x2, front-facing；风格: realistic, cinematic, 3d, vintage, studio；要求可读；包含标注/说明；文字是主视觉"
"45","14556","机器人画家拼贴广告","82","综合视觉","空间","T17","2x2 对比/系列图","grid; 2x2","3d; studio","neon; camera","true","包含标注/说明","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14556","得分 82；构图: grid, 2x2；风格: 3d, studio；包含标注/说明"
"46","14821","伊斯坦布尔的复古游轮","82","摄影/真实场景","界面","T19","复古真实摄影","centered; symmetrical; front-facing; vertical","realistic; cinematic; vintage","camera","true","要求精确文字","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14821","得分 82；构图: centered, symmetrical, front-facing, vertical；风格: realistic, cinematic, vintage；要求精确文字"
"47","15662","AI 广州美食地图对比","81","信息图/图解","信息结构","T11","百科信息图卡","centered; grid; annotations; callout; vertical","vintage; watercolor; hand-drawn","high contrast","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15662","得分 81；构图: centered, grid, annotations, callout, vertical；风格: vintage, watercolor, hand-drawn；包含标注/说明；文字是主视觉"
"48","14444","成都手绘美食地图 UI","81","信息图/图解","界面","T13","地图/空间导览","centered; annotations","vintage; watercolor; hand-drawn","","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 结构化布局精度","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14444","得分 81；构图: centered, annotations；风格: vintage, watercolor, hand-drawn；要求精确文字；包含标注/说明"
"49","14674","超现实露台肖像：乌鸦与小狗","81","摄影/真实场景","人物","T19","复古真实摄影","centered; vertical","realistic; photorealistic; editorial; vintage","overcast; shallow depth; depth of field","true","要求精确文字","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14674","得分 81；构图: centered, vertical；风格: realistic, photorealistic, editorial, vintage；要求精确文字"
"50","14165","Vintage Pomegranate Growth Atlas","80","信息图/图解","信息结构","T07","爆炸视图/结构图解","centered; cutaway; callout; vertical","realistic; vintage; watercolor","","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14165","得分 80；构图: centered, cutaway, callout, vertical；风格: realistic, vintage, watercolor；要求精确文字；包含标注/说明；文字是主视觉"
"51","15597","八种视觉语法下的苹果","80","信息图/图解","界面","T11","百科信息图卡","centered; close-up; grid; horizontal","realistic; vintage; watercolor; oil painting","high contrast; shallow depth; depth of field","true","要求精确文字；要求可读；包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15597","得分 80；构图: centered, close-up, grid, horizontal；风格: realistic, vintage, watercolor, oil painting；要求精确文字；要求可读；包含标注/说明"
"52","15421","植物生长图谱海报","80","信息图/图解","信息结构","T11","百科信息图卡","close-up; cutaway; annotations; callout; vertical","realistic; watercolor; studio","camera","true","包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15421","得分 80；构图: close-up, cutaway, annotations, callout, vertical；风格: realistic, watercolor, studio；包含标注/说明"
"53","15695","东京浪漫情侣照片拼贴","80","摄影/真实场景","人物","T19","复古真实摄影","close-up; grid","documentary","low contrast","true","要求精确文字","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15695","得分 80；构图: close-up, grid；风格: documentary；要求精确文字"
"54","14554","复古风韩式紫菜包饭食谱海报","79","字体/Logo","文字符号","T15","Logo/字体实验","vertical; horizontal","vintage; watercolor; hand-drawn","","true","要求精确文字；要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14554","得分 79；构图: vertical, horizontal；风格: vintage, watercolor, hand-drawn；要求精确文字；要求可读；包含标注/说明；文字是主视觉"
"55","14664","Neon Lip Balm 新品发布广告","79","图标/贴纸","界面","T16","图标/贴纸套组","centered; callout; layered; vertical","sci-fi","rim light; neon; lens; camera","true","包含标注/说明","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14664","得分 79；构图: centered, callout, layered, vertical；风格: sci-fi；包含标注/说明"
"56","15671","AI 图像功能宣传网格","79","综合视觉","产品","T17","2x2 对比/系列图","centered; full-body; grid; 2x2; layered; vertical","anime; premium; studio","","true","要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15671","得分 79；构图: centered, full-body, grid, 2x2, layered, vertical；风格: anime, premium, studio；要求可读；包含标注/说明；文字是主视觉"
"57","14581","Apple macOS 重新设计宣传样机","78","UI/界面","界面","T08","电商直播/UI 样机","centered; grid; layered; vertical","realistic; minimalist; premium","","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14581","得分 78；构图: centered, grid, layered, vertical；风格: realistic, minimalist, premium；包含标注/说明；文字是主视觉"
"58","14883","复古北京旅行剪贴簿海报","78","信息图/图解","文字符号","T13","地图/空间导览","callout; vertical","vintage; retro; watercolor; hand-drawn","camera","true","要求精确文字；要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14883","得分 78；构图: callout, vertical；风格: vintage, retro, watercolor, hand-drawn；要求精确文字；要求可读；包含标注/说明；文字是主视觉"
"59","14564","复古法式可丽饼食谱海报","78","字体/Logo","文字符号","T15","Logo/字体实验","grid; poster layout; vertical","vintage; watercolor","","true","要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14564","得分 78；构图: grid, poster layout, vertical；风格: vintage, watercolor；要求可读；包含标注/说明；文字是主视觉"
"60","14991","日本生态社区宣传海报","78","字体/Logo","人物","T15","Logo/字体实验","centered; vertical; horizontal","cinematic; premium","depth of field","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14991","得分 78；构图: centered, vertical, horizontal；风格: cinematic, premium；要求精确文字；包含标注/说明；文字是主视觉"
"61","15520","黑白艺术肖像","78","摄影/真实场景","人物","T19","复古真实摄影","layered; vertical","cinematic; vintage","natural light; depth of field; lens; camera","true","要求可读","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15520","得分 78；构图: layered, vertical；风格: cinematic, vintage；要求可读"
"62","15285","长城旅行拼图","78","海报/封面","人物","T20","文化节日/地域视觉","close-up; grid; layered","realistic; editorial","camera","true","要求精确文字","文字可读性/准确拼写; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15285","得分 78；构图: close-up, grid, layered；风格: realistic, editorial；要求精确文字"
